gene_a,gene_b,guide_a,guide_b,m_a0,m_0b,m_ab,mu,delta,rho_star,n_double,n_single_a,n_single_b,noise,lower_0.05,upper_0.05,sign_0.05,lower_0.1,upper_0.1,sign_0.1,lower_0.2,upper_0.2,sign_0.2,lower_0.3,upper_0.3,sign_0.3
BRAF,EGFR,1024980888,1033379562,0.11426626065557273,-0.28152570775439645,-1.707268755222701,0.9494587503608551,-0.5905505577630221,0.285817997527246,1,2,2,0.5118829510066232,-1.205742356160672,0.024641240634627803,UNRESOLVED,-1.3090512035516988,0.12795008802565444,UNRESOLVED,-1.515668898333752,0.3345677828077078,UNRESOLVED,-1.7222865931158056,0.5411854775897613,UNRESOLVED
BRAF,EGFR,1024980888,1033379490,0.11426626065557273,-0.1764766090431561,-1.211132440816471,0.9494587503608551,-0.1994633420680323,0.10170848481837873,1,2,2,0.5118829510066232,-0.8094026855301202,0.4104760013940556,UNRESOLVED,-0.9074590779855848,0.5085323938495202,UNRESOLVED,-1.103571862896514,0.7046451787604495,UNRESOLVED,-1.2996846478074433,0.9007579636713787,UNRESOLVED
BRAF,EGFR,1024980888,1033390638,0.11426626065557273,-1.0373317379027966,-2.563501818842863,0.9494587503608551,-0.690977591234784,0.24485533634653647,1,2,2,0.5118829510066232,-1.343959691139854,-0.037995491329714026,NEGATIVE,-1.4850588400383007,0.10310365756873263,UNRESOLVED,-1.767257137835194,0.38530195536562606,UNRESOLVED,-2.0494554356320873,0.6675002531625194,UNRESOLVED
BRAF,EGFR,1024965420,1033379492,0.054711288886727785,-0.4092464768578173,-1.30824133013425,0.9494587503608551,-0.004247391802305378,0.0018848373536385348,1,2,2,0.5118829510066232,-0.6288029772435686,0.6203081936389578,UNRESOLVED,-0.7414756116782085,0.7329808280735978,UNRESOLVED,-0.9668208805474885,0.9583260969428777,UNRESOLVED,-1.1921661494167684,1.1836713658121576,UNRESOLVED
BRAF,EGFR,1024965420,1033379562,0.054711288886727785,-0.28152570775439645,-2.377654177723888,0.9494587503608551,-1.201381008495364,0.5651611087099973,1,2,2,0.5118829510066232,-1.8195505554814562,-0.5832114615092718,NEGATIVE,-1.9258371514609252,-0.47692486552980295,NEGATIVE,-2.1384103434198627,-0.2643516735708651,NEGATIVE,-2.3509835353788007,-0.05177848161192733,NEGATIVE
BRAF,EGFR,1024965420,1033379490,0.054711288886727785,-0.1764766090431561,-1.636860224685724,0.9494587503608551,-0.5656361541684407,0.2799232755997942,1,2,2,0.5118829510066232,-1.178553246218971,0.047280937882089424,UNRESOLVED,-1.2795873872628778,0.14831507892599638,UNRESOLVED,-1.4816556693506917,0.3503833610138103,UNRESOLVED,-1.6837239514385054,0.552451643101624,UNRESOLVED
BRAF,EGFR,1024965420,1033390638,0.054711288886727785,-1.0373317379027966,-2.509784920533573,0.9494587503608551,-0.577705721156649,0.20048520312190246,1,2,2,0.5118829510066232,-1.233665569650161,0.0782541273368631,UNRESOLVED,-1.37774246713705,0.2223310248237521,UNRESOLVED,-1.665896262110828,0.51048481979753,UNRESOLVED,-1.9540500570846058,0.7986386147713078,UNRESOLVED
BRAF,EGFR,1024979188,1033379492,0.15701961413885807,-0.4092464768578173,-1.479957909156297,0.9494587503608551,-0.27827229607648274,0.12936012143387593,1,2,2,0.5118829510066232,-0.8977124652551394,0.3411678731021739,UNRESOLVED,-1.0052696834271728,0.44872509127420734,UNRESOLVED,-1.2203841197712397,0.6638395276182744,UNRESOLVED,-1.4354985561153066,0.8789539639623412,UNRESOLVED
BRAF,EGFR,1024979188,1033379562,0.15701961413885807,-0.28152570775439645,-1.593154399038247,0.9494587503608551,-0.5191895550618535,0.2565896515760994,1,2,2,0.5118829510066232,-1.132243685785339,0.09386457566163209,UNRESOLVED,-1.2334148655022017,0.1950357553784946,UNRESOLVED,-1.4357572249359265,0.3973781148122195,UNRESOLVED,-1.6380995843696513,0.5997204742459443,UNRESOLVED
BRAF,EGFR,1024979188,1033379490,0.15701961413885807,-0.1764766090431561,-0.4995865556554364,0.9494587503608551,0.4693291896097168,0.2446494105711952,1,2,2,0.5118829510066232,-0.13847248617820684,1.0771308653976406,UNRESOLVED,-0.2343912109595072,1.1730495901789408,UNRESOLVED,-0.42622866052210806,1.3648870397415416,UNRESOLVED,-0.6180661100847088,1.5567244893041425,UNRESOLVED
